,Unnamed: 0,woodyrip_class,pointid,near_woody
346,346,Quercus lobata,749004,1277.90809881
347,347,Quercus lobata,749005,1304.49015441
348,348,Quercus lobata,749006,1331.21749424
349,349,Quercus lobata,749007,1358.08154064
350,350,Quercus lobata,749008,1385.07433915
351,351,Quercus lobata,749009,1412.18850688
352,352,Quercus lobata,749010,1439.41718519
353,353,Quercus lobata,749110,969.822440743
354,354,Quercus lobata,749111,993.2339558210001
355,355,Quercus lobata,749112,1016.64110922
356,356,Quercus lobata,749113,1040.38675451
357,357,Quercus lobata,749114,1064.44823876
358,358,Quercus lobata,749115,1088.80462295
359,359,Quercus lobata,749116,1113.43655453
360,360,Quercus lobata,749117,1138.32614615
361,361,Quercus lobata,749118,1163.45686167
362,362,Quercus lobata,749119,1188.81340965
363,363,Quercus lobata,749120,1214.38164389
364,364,Quercus lobata,749121,1240.14847134
365,365,Quercus lobata,749122,1266.10176722
366,366,Quercus lobata,749123,1292.23029643
367,367,Quercus lobata,749124,1318.52364141
368,368,Quercus lobata,749125,1344.97213613
369,369,Quercus lobata,749126,1371.56680516
370,370,Quercus lobata,749127,1398.29930807
371,371,Quercus lobata,749128,1425.16188869
372,372,Quercus lobata,749129,1452.14732828
373,373,Quercus lobata,749130,1479.24890298
374,374,Quercus lobata,749131,1506.46034497
375,375,Quercus lobata,749230,1011.87003543
376,376,Quercus lobata,749231,1035.45602271
377,377,Quercus lobata,749232,1058.77978303
378,378,Quercus lobata,749233,1082.43248427
379,379,Quercus lobata,749234,1106.39303006
380,380,Quercus lobata,749235,1130.64184911
381,381,Quercus lobata,749236,1155.16078751
382,382,Quercus lobata,749237,1179.93300613
383,383,Quercus lobata,749238,1204.94288369
384,384,Quercus lobata,749239,1230.17592523
385,385,Quercus lobata,749240,1255.61867657
386,386,Quercus lobata,749241,1281.25864483
387,387,Quercus lobata,749242,1307.08422415
388,388,Quercus lobata,749243,1333.08462708
389,389,Quercus lobata,749244,1359.2498214000002
390,390,Quercus lobata,749245,1385.57047133
391,391,Quercus lobata,749246,1412.03788369
392,392,Quercus lobata,749247,1438.64395837
393,393,Quercus lobata,749248,1465.38114258
394,394,Quercus lobata,749249,1492.24238881
395,395,Quercus lobata,749250,1519.22111655
396,396,Quercus lobata,749251,1546.31117665
397,397,Quercus lobata,749252,1573.50681885
398,398,Quercus lobata,749351,1077.6941398
399,399,Quercus lobata,749352,1100.94055834
400,400,Quercus lobata,749353,1124.50681054
401,401,Quercus lobata,749354,1148.37320631
402,402,Quercus lobata,749355,1172.52141772
403,403,Quercus lobata,749356,1196.93438791
404,404,Quercus lobata,749357,1221.59624384
405,405,Quercus lobata,749358,1246.49221297
406,406,Quercus lobata,749359,1271.6085447
407,407,Quercus lobata,749360,1296.93243654
408,408,Quercus lobata,749361,1322.45196473
409,409,Quercus lobata,749362,1348.15601952
410,410,Quercus lobata,749363,1374.03424519
411,411,Quercus lobata,749364,1400.07698396
412,412,Quercus lobata,749365,1426.27522413
413,413,Quercus lobata,749366,1452.6205523
414,414,Quercus lobata,749367,1479.10510885
415,415,Quercus lobata,749368,1505.72154695
416,416,Quercus lobata,749369,1532.46299497
417,417,Quercus lobata,749370,1559.32302139
418,418,Quercus lobata,749371,1586.29560264
419,419,Quercus lobata,749372,1613.3750937
420,420,Quercus lobata,749373,1640.55620051
421,421,Quercus lobata,749472,1119.82062966
422,422,Quercus lobata,749473,1143.12098964
423,423,Quercus lobata,749474,1166.60663934
424,424,Quercus lobata,749475,1190.38502385
425,425,Quercus lobata,749476,1214.43894822
426,426,Quercus lobata,749477,1238.75236144
427,427,Quercus lobata,749478,1263.31028137
428,428,Quercus lobata,749479,1288.0987232999998
429,429,Quercus lobata,749480,1313.10463215
430,430,Quercus lobata,749481,1338.31581811
431,431,Quercus lobata,749482,1363.72089628
432,432,Quercus lobata,749483,1389.30923014
433,433,Quercus lobata,749484,1415.07087844
434,434,Quercus lobata,749485,1440.99654578
435,435,Quercus lobata,749486,1467.07753679
436,436,Quercus lobata,749487,1493.30571318
437,437,Quercus lobata,749488,1519.67345406
438,438,Quercus lobata,749489,1546.17361928
439,439,Quercus lobata,749490,1572.7995152
440,440,Quercus lobata,749491,1599.54486307
