cwhr_id,whr13_code,habitat_suitability
R025,12,0.495
B372,2,0.22
M008,12,0.66
M166,1043,0.22
M077,4,0.11
B269,13,0.776666666666667
B581,9,0.666666666666667
B052,1023,0.577333333333333
B320,1042,0.44
R017,8,0.66
B333,1034,0.333333333333333
R047,5,0.33
M019,4,0.11
B334,1042,0.22
A056,11,0.951428571428571
R094,12,0.33
M135,1039,0.66
A044,9,0.886666666666667
M037,2,0.22
R048,2,0.665
M027,9,0.11
B071,9,0.368888888888889
B510,6,1
A046,3,0.85
B381,8,0.33
B538,1042,1
B389,12,0.22
M157,1042,0.22
M024,13,0.333333333333333
M146,13,0.811111111111111
B250,1043,0.22
B129,9,0.333333333333333
M045,1037,0.663333333333333
A003,6,0.495
R018,5,0.33
B342,13,0.11
B113,1023,0.11
B344,1042,0.333333333333333
B307,1023,0.221666666666667
M153,1043,0.33
B532,1063,0.66
M001,1039,0.44
R020,8,0.33
M178,3,0.776666666666667
M042,12,0.22
B494,1034,0.55
M084,2,1
M047,12,0.971666666666667
M139,2,1
M143,1,0.5775
B170,9,0.888888888888889
R074,13,0.55
M029,9,0.165
R022,1,0.841805555555556
R035,11,0.33
R037,1063,0.33
B418,2,1
M058,11,1
M161,1043,0.33
B340,1043,0.11
R040,3,0.44
R058,6,0.66
B471,1,0.811153846153846
R051,6,0.66
B338,3,0.333333333333333
B115,1,0.765748299319728
B519,2,0.33
B292,1,0.513333333333333
B509,1034,0.44
B131,1034,0.443333333333333
R027,5,0.33
M002,1,0.66
B227,9,0.749166666666667
B158,1040,1
B076,9,0.666666666666667
A056,1,0.789583333333333
A038,9,1
M107,13,1
M123,1040,1
B277,8,1
M157,1034,0.44
R053,6,0.66
B469,13,0.72
B538,1034,0.553333333333333
A039,11,0.708571428571429
M137,2,1
B343,1,0.44
R061,1063,0.33
B255,12,0.440833333333333
M037,4,0.141428571428571
R048,4,0.915
B334,1034,0.11
B399,4,0.33
M111,11,0.5775
M022,9,0.22
B260,1063,0.22
B199,11,0.22
B333,1042,0.66
M010,9,0.386666666666667
B353,9,0.333333333333333
M077,2,0.553333333333333
M065,1,0.627777777777778
B051,3,0.333333333333333
B262,4,0.951904761904762
B331,8,0.66
A049,9,0.55
B321,3,0.608333333333333
M047,11,0.919047619047619
B509,3,0.11
B131,3,1
B279,1,0.701258741258741
B253,1063,0.553333333333333
B495,4,0.661666666666667
M050,1023,0.358333333333333
R028,1039,0.33
M149,1063,0.293333333333333
B461,3,0.886666666666667
B274,2,0.813333333333333
M042,11,0.556761904761905
M145,1042,0.11
M030,1,0.830765306122449
A057,6,0.33
B307,13,0.814444444444444
B166,1052,0.22
B275,1,0.773333333333333
B525,1040,0.22
M133,1023,0.605
B352,1037,0.333333333333333
B113,13,0.66
B145,6,0.888888888888889
B436,1063,0.22
B136,11,1
B338,1034,0.333333333333333
M181,2,1
R056,1,0.33
M233,6,0.11
B494,3,0.666666666666667
M032,1042,0.22
M165,1042,0.11
M034,1042,0.11
A006,6,0.495
B370,2,1
B435,1,0.882551020408163
B354,1042,0.22
B074,1023,0.443333333333333
B083,6,0.516666666666667
R035,12,1
A035,4,0.33
A022,1,0.605
B620,13,0.886666666666667
R077,8,0.33
B051,1034,0.666666666666667
M008,1,0.4125
B799,1042,0.22
B108,9,0.443333333333333
R025,1,0.33
B321,1034,0.44
M166,1037,0.22
M018,1039,0.66
B334,3,0.11
R094,1,0.33
B409,11,0.22
B254,1063,0.55
M021,2,0.33
B257,1063,0.496666666666667
M157,3,0.662222222222222
B538,3,0.33
M028,9,0.165
B159,1052,0.44
B389,1,0.908673469387755
M142,1063,0.44
B250,1037,0.333333333333333
M111,12,0.66
M045,1043,0.663333333333333
B196,1023,0.183333333333333
B255,11,0.951428571428571
M070,1,0.403333333333333
B262,3,0.333333333333333
B404,12,0.22
B053,1052,0.22
B265,1052,0.22
M083,1039,1
A027,1039,0.33
B321,4,0.3025
B149,1052,0.66
B799,2,0.22
R005,1,0.33
M069,1039,0.663333333333333
B226,5,0.333333333333333
M147,1039,0.44
B085,1037,0.55
B267,13,0.33
B051,4,0.44
M017,11,0.55
M029,1,0.42453125
M116,11,0.808571428571429
B126,1023,0.331666666666667
B124,13,0.553333333333333
B411,8,0.66
B537,8,0.22
R057,1,0.661074380165289
B525,6,1
B460,2,0.61
B272,13,1
B185,9,0.666666666666667
M037,3,0.11
R048,3,0.33
M036,12,0.11
