"Landcover_Class","EVT_Nick","EVC_Name","EVH_Name","SumCO2_ha","SumCO2total","Area_Ha","SumCO2_nonsoil","SumCO2_soil","SumCO2_emissions","OID","CO2e_nonsoil","CO2e_soil","N2O_emissions","CH4_emissions"
"Grassland","Grassland","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",84.79,2075.66,24.48,179.68,1897.45,-1.46,1106,7.34,77.51,-0.06,0.00
"Orchard","Orchard","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",103.87,18.69,0.18,11.28,7.76,-0.35,3988,62.68,43.15,-1.97,0.00
"Vineyard","Vineyard","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",88.05,55.47,0.63,6.70,49.34,-0.57,3355,10.64,78.31,-0.91,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",69.71,244.71,3.51,25.76,227.97,-9.02,3870,7.34,64.94,-2.57,0.00
"Orchard","Orchard","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",103.87,74.78,0.72,45.13,31.07,-1.41,2366,62.68,43.15,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",122.95,188.12,1.53,95.90,95.23,-3.01,2536,62.68,62.24,-1.97,0.00
"Wetland","Wetland","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",108.11,2383.98,22.05,242.77,2222.96,-81.75,3091,11.01,100.81,0.00,-3.70
"Vineyard","Vineyard","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",71.57,141.71,1.98,21.07,122.44,-1.80,2540,10.64,61.83,-0.91,0.00
"Vineyard","Vineyard","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",52.89,1504.25,28.44,302.68,1227.44,-25.88,3372,10.64,43.15,-0.91,0.00
"Wetland","Wetland","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",62.60,33.80,0.54,5.94,29.86,-2.00,3719,11.01,55.30,0.00,-3.70
"Orchard","Orchard","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",139.03,112.61,0.81,50.77,63.43,-1.59,2762,62.68,78.31,-1.97,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",85.77,1127.11,13.14,96.44,1064.44,-33.76,2501,7.34,81.00,-2.57,0.00
"Irrigated Pasture","Irrigated Pasture","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",45.77,4.11,0.09,0.99,3.34,-0.22,5047,11.01,37.21,-2.45,0.00
"Irrigated Pasture","Irrigated Pasture","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",45.77,8.23,0.18,1.98,6.69,-0.44,5554,11.01,37.21,-2.45,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",69.31,2358.12,34.02,249.70,2195.84,-87.43,4727,7.34,64.54,-2.57,0.00
"Urban","Developed","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",84.66,7.62,0.09,2.64,4.97,0.00,5252,29.36,55.30,0.00,0.00
"Grassland","Grassland","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",108.09,778.28,7.20,52.84,725.86,-0.43,2713,7.34,100.81,-0.06,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",50.65,1622.96,32.04,235.17,1470.13,-82.34,2934,7.34,45.88,-2.57,0.00
"Wetland","Wetland","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",84.81,732.78,8.64,95.12,669.68,-32.03,4391,11.01,77.51,0.00,-3.70
"Annual Cropland","Annual Cropland","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",69.31,205.86,2.97,21.79,191.70,-7.63,6600,7.34,64.54,-2.57,0.00
"Grassland","Grassland","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",84.79,183.14,2.16,15.85,167.42,-0.12,6436,7.34,77.51,-0.06,0.00
"Grassland","Grassland","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",81.04,21.88,0.27,1.98,19.91,-0.01,7474,7.34,73.76,-0.06,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",85.77,108.07,1.26,9.24,102.06,-3.23,6796,7.34,81.00,-2.57,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",50.65,4.55,0.09,0.66,4.12,-0.23,6836,7.34,45.88,-2.57,0.00
"Orchard","Orchard","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",122.55,22.05,0.18,11.28,11.13,-0.35,6964,62.68,61.83,-1.97,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",69.71,6.27,0.09,0.66,5.84,-0.23,7640,7.34,64.94,-2.57,0.00
"Wetland","Wetland","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",84.81,114.49,1.35,14.86,104.63,-5.00,6605,11.01,77.51,0.00,-3.70
"Grassland","Grassland","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",108.09,97.28,0.90,6.60,90.73,-0.05,6554,7.34,100.81,-0.06,0.00
"Orchard","Orchard","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",139.03,312.82,2.25,141.03,176.21,-4.43,2927,62.68,78.31,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",103.87,523.51,5.04,315.92,217.52,-9.92,4238,62.68,43.15,-1.97,0.00
"Wetland","Wetland","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",108.11,515.71,4.77,52.51,480.88,-17.68,5599,11.01,100.81,0.00,-3.70
"Orchard","Orchard","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",122.55,6805.37,55.53,3480.82,3433.94,-109.39,5376,62.68,61.83,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",122.95,188.12,1.53,95.90,95.23,-3.01,5583,62.68,62.24,-1.97,0.00
"Vineyard","Vineyard","Tree Cover >= 30 and < 40%","Forest Height 0 to 5 meters",52.89,9.52,0.18,1.91,7.76,-0.16,4363,10.64,43.15,-0.91,0.00
"Urban","Urban","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",103.12,9.28,0.09,2.64,6.63,0.00,5745,29.36,73.76,0.00,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",50.65,9.11,0.18,1.32,8.25,-0.46,5897,7.34,45.88,-2.57,0.00
"Irrigated Pasture","Irrigated Pasture","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",76.63,48.28,0.63,6.93,42.88,-1.54,5749,11.01,68.07,-2.45,0.00
"Grassland","Grassland","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",62.58,61.96,0.99,7.26,54.75,-0.05,3496,7.34,55.30,-0.06,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",122.95,320.91,2.61,163.60,162.45,-5.14,1525,62.68,62.24,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",103.87,112.18,1.08,67.69,46.61,-2.12,3497,62.68,43.15,-1.97,0.00
"Wetland","Wetland","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",62.60,174.68,2.79,30.71,154.30,-10.34,3501,11.01,55.30,0.00,-3.70
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",139.03,10748.51,77.31,4846.06,6054.74,-152.30,531,62.68,78.31,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",122.95,7513.89,61.11,3830.59,3803.68,-120.38,754,62.68,62.24,-1.97,0.00
"Grassland","Grassland","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",84.79,6547.51,77.22,566.79,5985.35,-4.63,2103,7.34,77.51,-0.06,0.00
"Wetland","Wetland","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",81.06,175.11,2.16,23.78,159.33,-8.00,3427,11.01,73.76,0.00,-3.70
"Wetland","Wetland","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",62.60,67.61,1.08,11.89,59.73,-4.00,3463,11.01,55.30,0.00,-3.70
"Annual Cropland","Annual Cropland","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",69.71,81.57,1.17,8.58,75.99,-3.00,1677,7.34,64.94,-2.57,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",103.87,355.24,3.42,214.37,147.60,-6.73,2205,62.68,43.15,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",122.55,70932.50,578.79,36280.64,35792.08,-1140.21,196,62.68,61.83,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",103.87,39235.87,377.73,23677.47,16302.52,-744.12,2260,62.68,43.15,-1.97,0.00
"Vineyard","Vineyard","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",52.89,4.76,0.09,0.95,3.88,-0.08,3477,10.64,43.15,-0.91,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",69.31,1359.97,19.62,144.01,1266.38,-50.42,1155,7.34,64.54,-2.57,0.00
"Irrigated Pasture","Irrigated Pasture","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",52.52,23.63,0.45,4.95,19.78,-1.10,2643,11.01,43.96,-2.45,0.00
"Vineyard","Vineyard","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",71.57,186.80,2.61,27.77,161.40,-2.37,2465,10.64,61.83,-0.91,0.00
"Vineyard","Vineyard","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",88.05,23.77,0.27,2.87,21.14,-0.24,3170,10.64,78.31,-0.91,0.00
"Wetland","Wetland","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",84.81,358.75,4.23,46.57,327.86,-15.68,4390,11.01,77.51,0.00,-3.70
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",122.55,2371.40,19.35,1212.92,1196.59,-38.11,4740,62.68,61.83,-1.97,0.00
"Urban","Developed","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",106.87,28.85,0.27,7.92,20.92,0.00,4791,29.36,77.51,0.00,0.00
"Grassland","Grassland","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",81.04,218.82,2.70,19.81,199.17,-0.16,2599,7.34,73.76,-0.06,0.00
"Grassland","Grassland","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",108.09,262.67,2.43,17.83,244.98,-0.14,2545,7.34,100.81,-0.06,0.00
"Urban","Developed","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",84.66,121.92,1.44,42.27,79.64,0.00,5214,29.36,55.30,0.00,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",139.03,62.56,0.45,28.20,35.24,-0.88,2976,62.68,78.31,-1.97,0.00
"Wetland","Wetland","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",108.11,2267.22,20.97,230.87,2114.08,-77.74,3092,11.01,100.81,0.00,-3.70
"Annual Cropland","Annual Cropland","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",50.65,1709.58,33.75,247.72,1548.59,-86.73,3881,7.34,45.88,-2.57,0.00
"Vineyard","Vineyard","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",71.97,6.47,0.09,0.95,5.60,-0.08,3331,10.64,62.24,-0.91,0.00
"Vineyard","Vineyard","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",52.89,418.90,7.92,84.29,341.82,-7.20,3318,10.64,43.15,-0.91,0.00
"Irrigated Pasture","Irrigated Pasture","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",45.77,24.71,0.54,5.94,20.09,-1.32,5565,11.01,37.21,-2.45,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",103.87,93.48,0.90,56.41,38.84,-1.77,2827,62.68,43.15,-1.97,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",85.77,578.99,6.75,49.54,546.80,-17.34,2819,7.34,81.00,-2.57,0.00
"Irrigated Pasture","Irrigated Pasture","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",62.65,129.69,2.07,22.79,111.97,-5.07,5608,11.01,54.09,-2.45,0.00
"Wetland","Wetland","Tree Cover >= 30 and < 40%","Forest Height 25 to 50 meters",108.11,9.73,0.09,0.99,9.07,-0.33,6666,11.01,100.81,0.00,-3.70
"Orchard","Orchard","Tree Cover >= 30 and < 40%","Forest Height 25 to 50 meters",103.87,9.34,0.09,5.64,3.88,-0.17,5740,62.68,43.15,-1.97,0.00
"Grassland","Grassland","Tree Cover >= 30 and < 40%","Forest Height 25 to 50 meters",108.09,9.72,0.09,0.66,9.07,-5.39999987930059e-03,6186,7.34,100.81,-0.06,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 30 and < 40%","Forest Height 25 to 50 meters",85.77,7.71,0.09,0.66,7.29,-0.23,6181,7.34,81.00,-2.57,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 30 and < 40%","Forest Height 25 to 50 meters",69.31,18.71,0.27,1.98,17.42,-0.69,7036,7.34,64.54,-2.57,0.00
"Orchard","Orchard","Tree Cover >= 30 and < 40%","Forest Height 25 to 50 meters",103.87,9.34,0.09,5.64,3.88,-0.17,4446,62.68,43.15,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 30 and < 40%","Forest Height 25 to 50 meters",122.55,11.02,0.09,5.64,5.56,-0.17,3179,62.68,61.83,-1.97,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 30 and < 40%","Forest Height 25 to 50 meters",50.65,4.55,0.09,0.66,4.12,-0.23,3753,7.34,45.88,-2.57,0.00
"Orchard","Orchard","Tree Cover >= 30 and < 40%","Forest Height 25 to 50 meters",103.87,28.04,0.27,16.92,11.65,-0.53,5279,62.68,43.15,-1.97,0.00
"Urban","Urban","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",106.87,9.61,0.09,2.64,6.97,0.00,6061,29.36,77.51,0.00,0.00
"Urban","Urban","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",130.17,11.71,0.09,2.64,9.07,0.00,5682,29.36,100.81,0.00,0.00
"Urban","Urban","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",106.87,28.85,0.27,7.92,20.92,0.00,6034,29.36,77.51,0.00,0.00
"Grassland","Grassland","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",62.58,1109.66,17.73,130.13,980.59,-1.06,320,7.34,55.30,-0.06,0.00
"Grassland","Grassland","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",81.04,12414.77,153.18,1124.34,11299.62,-9.19,312,7.34,73.76,-0.06,0.00
"Grassland","Grassland","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",84.79,176714.21,2084.13,15297.51,161541.74,-125.04,105,7.34,77.51,-0.06,0.00
"Wetland","Wetland","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",108.11,9.73,0.09,0.99,9.07,-0.33,3987,11.01,100.81,0.00,-3.70
"Shrubland","Northern and Central California Dry-Mesic Chaparral","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",354.09,414.29,1.17,349.58,64.70,0.00,2223,298.79,55.30,0.00,0.00
"Orchard","Orchard","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",122.55,18894.01,154.17,9663.93,9533.79,-303.71,173,62.68,61.83,-1.97,0.00
"Shrubland","Northern and Central California Dry-Mesic Chaparral","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",376.30,184780.04,491.04,146719.33,38060.70,0.00,163,298.79,77.51,0.00,0.00
"Annual Cropland","Annual Cropland","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",50.65,100.29,1.98,14.53,90.85,-5.08,4016,7.34,45.88,-2.57,0.00
"Annual Cropland","Annual Cropland","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",69.71,106.67,1.53,11.23,99.37,-3.93,2202,7.34,64.94,-2.57,0.00
"Orchard","Orchard","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",139.03,713.23,5.13,321.56,401.77,-10.10,337,62.68,78.31,-1.97,0.00
"Irrigated Pasture","Irrigated Pasture","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",52.52,4.72,0.09,0.99,3.95,-0.22,1202,11.01,43.96,-2.45,0.00
"Shrubland","Northern and Central California Dry-Mesic Chaparral","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",372.56,938.85,2.52,752.95,185.89,0.00,730,298.79,73.76,0.00,0.00
"Shrubland","Northern and Central California Dry-Mesic Chaparral","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",399.60,143.85,0.36,107.56,36.29,0.00,1113,298.79,100.81,0.00,0.00
"Irrigated Pasture","Irrigated Pasture","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",62.65,45.11,0.72,7.92,38.94,-1.76,1200,11.01,54.09,-2.45,0.00
"Annual Cropland","Annual Cropland","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",69.31,1503.46,21.69,159.20,1399.99,-55.74,539,7.34,64.54,-2.57,0.00
"Orchard","Orchard","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",122.95,309.85,2.52,157.96,156.85,-4.96,759,62.68,62.24,-1.97,0.00
"Orchard","Orchard","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",103.87,243.06,2.34,146.67,100.99,-4.60,705,62.68,43.15,-1.97,0.00
"Vineyard","Vineyard","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",71.57,605.50,8.46,90.03,523.16,-7.69,1158,10.64,61.83,-0.91,0.00
"Wetland","Wetland","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",84.81,53.43,0.63,6.93,48.83,-2.33,538,11.01,77.51,0.00,-3.70
"Vineyard","Vineyard","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",52.89,4.76,0.09,0.95,3.88,-0.08,4494,10.64,43.15,-0.91,0.00
"Grassland","Grassland","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",108.09,10098.22,93.42,685.70,9418.12,-5.60,2332,7.34,100.81,-0.06,0.00
"Annual Cropland","Annual Cropland","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",50.65,4.55,0.09,0.66,4.12,-0.23,5506,7.34,45.88,-2.57,0.00
"Annual Cropland","Annual Cropland","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",85.77,123.51,1.44,10.56,116.65,-3.70,3687,7.34,81.00,-2.57,0.00
"Grassland","Grassland","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",62.58,1994.01,31.86,233.85,1762.07,-1.91,2666,7.34,55.30,-0.06,0.00
"Irrigated Pasture","Irrigated Pasture","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",45.77,8.23,0.18,1.98,6.69,-0.44,2998,11.01,37.21,-2.45,0.00
"Urban","Urban","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",84.66,22.86,0.27,7.92,14.93,0.00,4582,29.36,55.30,0.00,0.00
"Urban","Developed","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",84.66,7.62,0.09,2.64,4.97,0.00,4571,29.36,55.30,0.00,0.00
"Vineyard","Vineyard","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",88.05,7.92,0.09,0.95,7.04,-0.08,4438,10.64,78.31,-0.91,0.00
"Urban","Urban","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",84.66,7.62,0.09,2.64,4.97,0.00,5019,29.36,55.30,0.00,0.00
"Vineyard","Vineyard","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",71.97,12.95,0.18,1.91,11.20,-0.16,3258,10.64,62.24,-0.91,0.00
"Shrubland","Northern and Central California Dry-Mesic Chaparral","Shrub Cover >= 50 and < 60%","Shrub Height > 3.0 meters",354.09,6788.09,19.17,5727.86,1060.23,0.00,2702,298.79,55.30,0.00,0.00
"Urban","Western Cool Temperate Developed Ruderal Shrubland","Shrub Cover >= 60 and < 70%","Shrub Height > 3.0 meters",84.66,15.24,0.18,5.28,9.95,0.00,2317,29.36,55.30,0.00,0.00
"Irrigated Pasture","Irrigated Pasture","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",76.63,13.79,0.18,1.98,12.25,-0.44,6953,11.01,68.07,-2.45,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",69.31,6.23,0.09,0.66,5.80,-0.23,5933,7.34,64.54,-2.57,0.00
"Grassland","Grassland","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",62.58,11.26,0.18,1.32,9.95,-0.01,3138,7.34,55.30,-0.06,0.00
"Vineyard","Vineyard","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",71.97,6.47,0.09,0.95,5.60,-0.08,2914,10.64,62.24,-0.91,0.00
"Wetland","Wetland","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",108.11,19.46,0.18,1.98,18.14,-0.66,5111,11.01,100.81,0.00,-3.70
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",103.87,364.59,3.51,220.01,151.48,-6.91,2705,62.68,43.15,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",122.95,55.33,0.45,28.20,28.00,-0.88,2695,62.68,62.24,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",122.55,44.11,0.36,22.56,22.26,-0.70,3651,62.68,61.83,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",139.03,100.10,0.72,45.13,56.38,-1.41,2761,62.68,78.31,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",139.03,12.51,0.09,5.64,7.04,-0.17,3963,62.68,78.31,-1.97,0.00
"Irrigated Pasture","Irrigated Pasture","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",45.77,12.35,0.27,2.97,10.04,-0.66,4269,11.01,37.21,-2.45,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",103.87,93.48,0.90,56.41,38.84,-1.77,3072,62.68,43.15,-1.97,0.00
"Vineyard","Vineyard","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",52.89,4.76,0.09,0.95,3.88,-0.08,3387,10.64,43.15,-0.91,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",85.77,7.71,0.09,0.66,7.29,-0.23,2417,7.34,81.00,-2.57,0.00
"Wetland","Wetland","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",84.81,7.63,0.09,0.99,6.97,-0.33,4527,11.01,77.51,0.00,-3.70
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",122.55,66.17,0.54,33.84,33.39,-1.06,3184,62.68,61.83,-1.97,0.00
"Annual Cropland","Annual Cropland","Tree Cover >= 40 and < 50%","Forest Height 25 to 50 meters",50.65,45.58,0.90,6.60,41.29,-2.31,3754,7.34,45.88,-2.57,0.00
"Shrubland","Mojave Mid-Elevation Mixed Desert Scrub","Shrub Cover >= 20 and < 30%","Shrub Height 0.5 to 1.0 meter",66.99,6.02,0.09,1.05,4.97,0.00,7571,11.68,55.30,0.00,0.00
"Annual Cropland","Western Warm Temperate Developed Ruderal Mixed Forest","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",69.31,24.95,0.36,2.64,23.23,-0.92,7215,7.34,64.54,-2.57,0.00
"Forest","California Montane Woodland and Chaparral","Shrub Cover >= 80 and < 90%","Shrub Height > 3.0 meters",398.37,35.85,0.09,30.87,4.97,0.00,7476,343.07,55.30,0.00,0.00
"Irrigated Pasture","Irrigated Pasture","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",62.65,33.83,0.54,5.94,29.21,-1.32,6488,11.01,54.09,-2.45,0.00
"Urban","Developed","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",130.17,11.71,0.09,2.64,9.07,0.00,7238,29.36,100.81,0.00,0.00
"Orchard","Orchard","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",139.03,225.23,1.62,101.54,126.87,-3.19,7071,62.68,78.31,-1.97,0.00
"Irrigated Pasture","Irrigated Pasture","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",76.63,34.48,0.45,4.95,30.63,-1.10,6282,11.01,68.07,-2.45,0.00
"Urban","Urban","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",130.17,11.71,0.09,2.64,9.07,0.00,5678,29.36,100.81,0.00,0.00
"Annual Cropland","Annual Cropland","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",69.31,112.29,1.62,11.89,104.56,-4.16,6472,7.34,64.54,-2.57,0.00
"Urban","Urban","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",130.17,11.71,0.09,2.64,9.07,0.00,5670,29.36,100.81,0.00,0.00
"Urban","Developed","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",106.87,19.23,0.18,5.28,13.95,0.00,6757,29.36,77.51,0.00,0.00
"Annual Cropland","Annual Cropland","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",69.71,12.54,0.18,1.32,11.69,-0.46,6893,7.34,64.94,-2.57,0.00
"Irrigated Pasture","Irrigated Pasture","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",45.77,4.11,0.09,0.99,3.34,-0.22,6375,11.01,37.21,-2.45,0.00
"Orchard","Orchard","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",122.55,110.29,0.90,56.41,55.65,-1.77,425,62.68,61.83,-1.97,0.00
"Annual Cropland","Annual Cropland","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",50.65,118.53,2.34,17.17,107.36,-6.01,2041,7.34,45.88,-2.57,0.00
"Shrubland","Sonora-Mojave Semi-Desert Chaparral","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",87.60,1308.78,14.94,482.50,826.28,0.00,1418,32.29,55.30,0.00,0.00
"Shrubland","Sonora-Mojave Semi-Desert Chaparral","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",133.11,311.47,2.34,75.57,235.90,0.00,1430,32.29,100.81,0.00,0.00
"Shrubland","Sonora-Mojave Semi-Desert Chaparral","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",106.06,887.74,8.37,270.31,617.42,0.00,1325,32.29,73.76,0.00,0.00
"Grassland","Grassland","Shrub Cover >= 60 and < 70%","Shrub Height 1.0 to 3.0 meters",84.79,5700.45,67.23,493.46,5211.02,-4.03,1035,7.34,77.51,-0.06,0.00
