,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,accesstype,unitname,AGNCY_NAME,pointid,near_cpad
157,157,157,157,Open Access,Carolo Gabriault Park,"Merced, City of",1745215,2879.21195199
158,158,158,158,Open Access,Carolo Gabriault Park,"Merced, City of",1745216,2849.5887834000005
159,159,159,159,Open Access,Carolo Gabriault Park,"Merced, City of",1745217,2819.97358223
160,160,160,160,Open Access,Carolo Gabriault Park,"Merced, City of",1745218,2790.36660217
161,161,161,161,Open Access,Carolo Gabriault Park,"Merced, City of",1745219,2760.7681076999997
162,162,162,162,Open Access,Carolo Gabriault Park,"Merced, City of",1745220,2731.17837471
163,163,163,163,Open Access,Carolo Gabriault Park,"Merced, City of",1745221,2701.59769109
164,164,164,164,Open Access,Carolo Gabriault Park,"Merced, City of",1745222,2672.02635737
165,165,165,165,Open Access,Carolo Gabriault Park,"Merced, City of",1745223,2642.46468746
166,166,166,166,Open Access,Carolo Gabriault Park,"Merced, City of",1745224,2612.91300936
167,167,167,167,Open Access,Carolo Gabriault Park,"Merced, City of",1745225,2583.37166596
168,168,168,168,Open Access,Carolo Gabriault Park,"Merced, City of",1745226,2553.8410159
169,169,169,169,Open Access,Carolo Gabriault Park,"Merced, City of",1745227,2524.32143446
170,170,170,170,Open Access,Carolo Gabriault Park,"Merced, City of",1745228,2494.81331456
171,171,171,171,Open Access,Carolo Gabriault Park,"Merced, City of",1745229,2465.31706774
172,172,172,172,Open Access,Carolo Gabriault Park,"Merced, City of",1745230,2435.83312534
173,173,173,173,Open Access,Carolo Gabriault Park,"Merced, City of",1745231,2406.36193963
174,174,174,174,Open Access,Carolo Gabriault Park,"Merced, City of",1745232,2376.90398512
175,175,175,175,Open Access,Carolo Gabriault Park,"Merced, City of",1745233,2347.45975993
176,176,176,176,Open Access,Carolo Gabriault Park,"Merced, City of",1745234,2318.02978723
177,177,177,177,Open Access,Carolo Gabriault Park,"Merced, City of",1745235,2288.61461686
178,178,178,178,Open Access,Carolo Gabriault Park,"Merced, City of",1745236,2259.21482699
179,179,179,179,Open Access,Carolo Gabriault Park,"Merced, City of",1745237,2229.83102599
180,180,180,180,Open Access,Carolo Gabriault Park,"Merced, City of",1745238,2200.46385439
181,181,181,181,Open Access,Carolo Gabriault Park,"Merced, City of",1745239,2171.11398699
182,182,182,182,Open Access,Carolo Gabriault Park,"Merced, City of",1745240,2141.78213516
183,183,183,183,Open Access,Carolo Gabriault Park,"Merced, City of",1745241,2112.46904936
184,184,184,184,Open Access,Carolo Gabriault Park,"Merced, City of",1745242,2083.17552177
185,185,185,185,Open Access,Carolo Gabriault Park,"Merced, City of",1745243,2053.90238923
186,186,186,186,Open Access,Carolo Gabriault Park,"Merced, City of",1745244,2024.65053639
187,187,187,187,Open Access,Carolo Gabriault Park,"Merced, City of",1745245,1995.42089908
188,188,188,188,Open Access,Carolo Gabriault Park,"Merced, City of",1745246,1966.21446808
189,189,189,189,Open Access,Carolo Gabriault Park,"Merced, City of",1745247,1937.03229309
190,190,190,190,Open Access,Carolo Gabriault Park,"Merced, City of",1745248,1907.87548716
191,191,191,191,Open Access,Carolo Gabriault Park,"Merced, City of",1745249,1878.74523139
192,192,192,192,Open Access,Carolo Gabriault Park,"Merced, City of",1745250,1849.64278024
193,193,193,193,Open Access,Carolo Gabriault Park,"Merced, City of",1745251,1820.56946709
