CUSTOMCODE,LC2030MOD,evt_nick_mod,evt_name_mod,ipcc_soil_mod,soc_mod,total_mass_mod,tot_mass_mod,n20_em_mod,ch4_em_mod,gridcode14
8,Vineyard,Vineyard,California Central Valley Riparian Herbaceous,NA,21.168,20.412,5.22,-1.638,0,4651
0,Wetland,Wetland,California Central Valley Riparian Herbaceous,LAC,36.18,20.412,5.4,0,-6.6735,4771
7,Orchard,Orchard,California Central Valley Riparian Herbaceous,LAC,30.528,20.412,30.744,-3.546,0,5102
8,Vineyard,Vineyard,California Central Valley Riparian Herbaceous,LAC,30.528,20.412,5.22,-1.638,0,4642
0,Wetland,Wetland,California Central Valley Riparian Herbaceous,HAC,38.016,20.412,5.4,0,-6.6735,4471
11,Irrigated Pasture,Irrigated Pasture,California Central Valley Mixed Oak Savanna,Wetland,33.39,396.324,5.4,-4.41,0,6080
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,Wetland,49.446,404.25048,202.12524,0,0,3403
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,Sandy,21.168,396.324,30.744,-3.546,0,3591
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,Wetland,49.446,396.324,5.4,0,-6.6735,3979
8,Vineyard,Vineyard,California Central Valley Mixed Oak Savanna,NA,21.168,396.324,5.22,-1.638,0,3406
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,LAC,36.18,396.324,5.4,0,-6.6735,3986
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,LAC,36.18,404.25048,202.12524,0,0,3586
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,LAC,30.528,396.324,30.744,-3.546,0,715
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,Wetland,38.412,396.324,30.744,-3.546,0,597
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,Wetland,49.446,396.324,198.162,0,0,3555
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,NA,22.504536,396.324,3.6,-4.626,0,4165
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,Wetland,39.731292,396.324,3.6,-4.626,0,3618
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,HAC,38.016,396.324,3.6,-0.107982,0,950
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,HAC,30.33,396.324,30.744,-3.546,0,407
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,HAC,31.657374,396.324,3.6,-4.626,0,2391
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,NA,27.126,396.324,5.4,0,-6.6735,3693
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,Wetland,49.446,396.324,3.6,-0.107982,0,4428
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,Sandy,22.504536,396.324,3.6,-4.626,0,3276
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,NA,27.126,396.324,3.6,-0.107982,0,2777
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,LAC,31.855176,396.324,3.6,-4.626,0,2633
8,Vineyard,Vineyard,California Central Valley Mixed Oak Savanna,LAC,30.528,396.324,5.22,-1.638,0,3342
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,HAC,38.016,404.25048,202.12524,0,0,3041
8,Vineyard,Vineyard,California Central Valley Mixed Oak Savanna,Sandy,21.168,396.324,5.22,-1.638,0,3350
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,NA,21.168,396.324,30.744,-3.546,0,3648
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,NA,27.126,404.25048,202.12524,0,0,3251
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,NA,27.126,396.324,198.162,0,0,3250
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,Sandy,27.126,396.324,198.162,0,0,3031
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,Sandy,27.126,396.324,5.4,0,-6.6735,3728
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,Sandy,27.126,396.324,3.6,-0.107982,0,3037
8,Vineyard,Vineyard,California Central Valley Mixed Oak Savanna,Wetland,38.412,396.324,5.22,-1.638,0,3194
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,LAC,36.18,396.324,3.6,-0.107982,0,2574
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,Sandy,27.126,404.25048,202.12524,0,0,3011
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,HAC,38.016,396.324,5.4,0,-6.6735,4536
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,HAC,38.016,396.324,198.162,0,0,2772
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,Wetland,49.446,446.112,223.056,0,0,7181
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,HAC,38.016,455.03424,227.51712,0,0,7467
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,NA,27.126,446.112,5.4,0,-6.6735,6230
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,Sandy,27.126,446.112,5.4,0,-6.6735,5838
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,Sandy,27.126,446.112,3.6,-0.107982,0,6308
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,Sandy,27.126,455.03424,227.51712,0,0,3593
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,HAC,30.33,446.112,30.744,-3.546,0,4083
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,Wetland,49.446,455.03424,227.51712,0,0,3572
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,LAC,31.855176,446.112,3.6,-4.626,0,4041
